transaction_id,cashier_id,timestamp,item_count,total_amount,void_count,no_sale_count,weight_variance,is_fraud
T000001,C039,2026-01-11 16:28:31.721946,17,63.99,2,0,-5.88,0
T000002,C029,2026-01-11 16:30:21.721946,9,352.47,2,0,-1.42,0
T000003,C015,2026-01-11 16:31:28.721946,3,269.86,0,1,-3.3,0
T000004,C043,2026-01-11 16:32:03.721946,16,278.63,0,0,-0.9,0
T000005,C008,2026-01-11 16:32:07.721946,13,57.23,0,0,11.16,0
T000006,C021,2026-01-11 16:32:45.721946,26,125.39,2,0,-1.77,0
T000007,C039,2026-01-11 16:33:50.721946,17,391.04,2,0,2.48,0
T000008,C019,2026-01-11 16:33:50.721946,32,234.52,2,0,4.41,0
T000009,C023,2026-01-11 16:33:53.721946,24,231.25,0,0,3.22,0
T000010,C011,2026-01-11 16:34:19.721946,36,275.23,1,0,-6.38,0
T000011,C011,2026-01-11 16:34:21.721946,22,219.73,1,0,1.45,0
T000012,C024,2026-01-11 16:34:22.721946,9,404.04,2,0,-8.06,0
T000013,C036,2026-01-11 16:37:09.721946,22,375.61,0,0,-2.91,0
T000014,C040,2026-01-11 16:39:43.721946,41,161.92,0,0,8.96,0
T000015,C024,2026-01-11 16:40:45.721946,50,406.98,0,0,-5.22,0
T000016,C003,2026-01-11 16:41:32.721946,46,261.71,1,0,-4.27,0
T000017,C022,2026-01-11 16:42:45.721946,20,315.73,2,0,1.47,0
T000018,C002,2026-01-11 16:43:25.721946,3,433.76,2,0,-2.1,0
T000019,C024,2026-01-11 16:44:28.721946,36,240.62,0,0,2.65,0
T000020,C044,2026-01-11 16:45:06.721946,33,379.35,2,0,2.63,0
T000021,C030,2026-01-11 16:45:07.721946,18,315.9,0,0,-0.58,0
T000022,C038,2026-01-11 16:45:57.721946,36,216.24,1,0,-1.11,0
T000023,C002,2026-01-11 16:46:47.721946,10,395.58,2,0,7.26,0
T000024,C021,2026-01-11 16:47:56.721946,36,57.05,2,0,5.36,0
T000025,C033,2026-01-11 16:50:23.721946,21,292.7,2,0,4.55,0
T000026,C012,2026-01-11 16:50:29.721946,25,27.97,1,0,-2.54,0
T000027,C022,2026-01-11 16:51:51.721946,49,82.3,0,0,-1.86,0
T000028,C044,2026-01-11 16:52:35.721946,40,301.44,2,0,0.61,0
T000029,C025,2026-01-11 16:56:14.721946,9,157.27,1,0,-9.43,0
T000030,C049,2026-01-11 16:57:32.721946,48,134.93,2,0,-8.61,0
T000031,C027,2026-01-11 16:59:40.721946,27,478.14,0,0,-4.69,0
T000032,C042,2026-01-11 17:00:20.721946,15,186.12,1,0,-5.38,0
T000033,C028,2026-01-11 17:00:45.721946,32,284.55,1,0,-0.07,0
T000034,C016,2026-01-11 17:01:57.721946,48,269.45,2,0,4.05,0
T000035,C015,2026-01-11 17:02:28.721946,44,35.7,1,0,-1.43,0
T000036,C047,2026-01-11 17:03:05.721946,50,338.77,2,0,-2.13,0
T000037,C044,2026-01-11 17:04:06.721946,39,258.89,0,0,2.59,0
T000038,C003,2026-01-11 17:04:46.721946,16,193.8,0,0,1.11,0
T000039,C037,2026-01-11 17:05:19.721946,28,37.68,1,0,-6.9,0
T000040,C007,2026-01-11 17:05:49.721946,6,150.04,1,0,2.98,0
T000041,C021,2026-01-11 17:05:56.721946,6,442.63,0,0,-0.14,0
T000042,C009,2026-01-11 17:06:02.721946,38,90.99,0,0,-14.58,0
T000043,C039,2026-01-11 17:07:10.721946,47,113.57,0,0,-3.5,0
T000044,C018,2026-01-11 17:07:30.721946,2,106.62,2,0,-1.95,0
T000045,C004,2026-01-11 17:07:45.721946,41,445.95,2,0,2.76,0
T000046,C025,2026-01-11 17:07:50.721946,40,351.5,1,0,6.08,0
T000047,C014,2026-01-11 17:07:56.721946,7,441.51,0,0,7.09,0
T000048,C050,2026-01-11 17:09:32.721946,27,14.63,1,0,1285.91,1
T000049,C009,2026-01-11 17:09:39.721946,28,464.34,2,0,-0.8,0
T000050,C026,2026-01-11 17:12:02.721946,16,245.43,0,0,-1.09,0
T000051,C002,2026-01-11 17:12:43.721946,47,240.73,0,0,-4.78,0
T000052,C020,2026-01-11 17:13:18.721946,9,415.32,1,0,-0.56,0
T000053,C028,2026-01-11 17:13:37.721946,15,169.3,2,0,0.33,0
T000054,C047,2026-01-11 17:14:11.721946,34,15.99,2,0,-7.8,0
T000055,C007,2026-01-11 17:15:06.721946,20,169.12,0,0,-7.43,0
T000056,C044,2026-01-11 17:15:07.721946,14,359.59,1,0,1.96,0
T000057,C008,2026-01-11 17:15:38.721946,11,66.19,0,0,7.5,0
T000058,C047,2026-01-11 17:15:56.721946,30,393.47,0,0,3.34,0
T000059,C035,2026-01-11 17:16:13.721946,3,408.66,2,0,9.16,0
T000060,C014,2026-01-11 17:17:59.721946,2,54.95,2,0,-2.34,0
T000061,C017,2026-01-11 17:18:11.721946,50,53.43,0,0,-5.91,0
T000062,C036,2026-01-11 17:18:18.721946,14,103.41,2,0,-3.97,0
T000063,C050,2026-01-11 17:21:38.721946,29,5.22,2,0,1346.92,1
T000064,C040,2026-01-11 17:22:06.721946,5,268.7,1,0,-4.53,0
T000065,C004,2026-01-11 17:23:20.721946,44,245.34,1,0,-10.05,0
T000066,C002,2026-01-11 17:25:13.721946,46,427.32,1,0,3.8,0
T000067,C006,2026-01-11 17:26:35.721946,6,75.4,1,0,-10.16,0
T000068,C042,2026-01-11 17:26:48.721946,8,350.3,1,0,-3.83,0
T000069,C004,2026-01-11 17:26:49.721946,39,276.7,0,0,3.78,0
T000070,C029,2026-01-11 17:27:10.721946,39,369.73,2,0,6.38,0
T000071,C018,2026-01-11 17:28:31.721946,44,174.26,0,0,0.18,0
T000072,C026,2026-01-11 17:31:47.721946,29,238.33,1,0,1.33,0
T000073,C044,2026-01-11 17:32:16.721946,39,19.15,0,0,2.49,0
T000074,C034,2026-01-11 17:32:50.721946,44,62.47,0,0,-4.93,0
T000075,C010,2026-01-11 17:34:58.721946,27,190.62,0,0,-1.02,0
T000076,C036,2026-01-11 17:35:03.721946,16,243.22,1,0,-1.97,0
T000077,C014,2026-01-11 17:35:39.721946,27,47.44,1,0,-3.35,0
T000078,C031,2026-01-11 17:36:07.721946,39,413.37,1,0,-4.86,0
T000079,C048,2026-01-11 17:36:14.721946,40,473.3,2,0,4.9,0
T000080,C015,2026-01-11 17:36:17.721946,1,300.22,2,0,-4.86,0
T000081,C008,2026-01-11 17:37:50.721946,45,31.43,0,0,-3.52,0
T000082,C014,2026-01-11 17:38:13.721946,33,370.72,2,0,-0.19,0
T000083,C023,2026-01-11 17:38:23.721946,50,112.5,2,0,-5.18,0
T000084,C040,2026-01-11 17:38:26.721946,39,368.16,1,0,3.56,0
T000085,C021,2026-01-11 17:39:34.721946,27,220.0,0,0,11.9,0
T000086,C016,2026-01-11 17:43:48.721946,17,31.45,2,0,-3.27,0
T000087,C045,2026-01-11 17:44:02.721946,15,142.98,2,0,6.85,0
T000088,C018,2026-01-11 17:44:31.721946,22,216.38,2,0,5.79,0
T000089,C047,2026-01-11 17:44:34.721946,19,369.44,2,0,1.92,0
T000090,C024,2026-01-11 17:46:45.721946,28,70.87,0,0,5.93,0
T000091,C026,2026-01-11 17:48:19.721946,23,147.07,0,0,-2.7,0
T000092,C025,2026-01-11 17:49:13.721946,36,46.35,2,0,2.54,0
T000093,C045,2026-01-11 17:49:58.721946,49,309.82,1,0,3.14,0
T000094,C041,2026-01-11 17:51:05.721946,39,239.76,1,0,4.04,0
